"","type","title","description","time_frame","population","measure","nct_id","group_id","non_inferiority_type","p_value","p_value_desc","method","arm","param_type","param_value","ci_percent","ci_n_sides","ci_lower_limit","ci_upper_limit","non_inferiority_desc"
"35","Primary","WOMAC Score","Western Ontario and McMaster Universities Osteoarthritis Index Patient Subjective Outcome Score (Range: 0-96, Minimum:0, Maximum:96). Subsections include Pain (Range:0-20, Minimum:0, Maximum:20), Stiffness (Range:0-8; Minimum:0, Maximum:8), and Functional Limitation (Range0-68, Minimum:0, Maximum:68). Measured as change in score from baseline levels. Positive scores indicate an improvement in WOMAC scores from pre-operative levels.","6 weeks","Number of patients available for analysis in in POD 7-42 time points decreased secondary to their follow up. To account for this, both an ""intention to treat"" and a ""per protocol"" analysis were completed.","WOMAC ScoreWestern Ontario and McMaster Universities Osteoarthritis Index Patient Subjective Outcome Score (Range: 0-96, Minimum:0, Maximum:96). Subsections include Pain (Range:0-20, Minimum:0, Maximum:20), Stiffness (Range:0-8; Minimum:0, Maximum:8), and Functional Limitation (Range0-68, Minimum:0, Maximum:68). Measured as change in score from baseline levels. Positive scores indicate an improvement in WOMAC scores from pre-operative levels.Number of patients available for analysis in in POD 7-42 time points decreased secondary to their follow up. To account for this, both an ""intention to treat"" and a ""per protocol"" analysis were completed.units on a scaleMeanStandard DeviationParticipantsMeasurePOD 7 Pain SubscoreParticipantsClassPOD 7 Stiffness SubscoreParticipantsClassPOD 7 Physical Function SubscoreParticipantsClassPOD 7 Total ScoreParticipantsClassPOD 14 Pain SubscoreParticipantsClassPOD 14 Stiffness SubscoreParticipantsClassPOD 14 Physical Function SubscoreParticipantsClassPOD 14 Total ScoreParticipantsClassPOD 28 Pain SubscoreParticipantsClassPOD 28 Stiffness SubscoreParticipantsClassPOD 28 Physical Function SubscoreParticipantsClassPOD 28 Total ScoreParticipantsClassPOD 42 Pain SubscoreParticipantsClassPOD 42 Stiffness SubscoreParticipantsClassPOD 42 Physical Function SubscoreParticipantsClassPOD 42 Total ScoreParticipantsClass","NCT04910165","O2","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Control",NA,NA,NA,NA,NA,NA,NA
"36","Secondary","Number of Participants Needing to be Readmitted to the Hospital Secondary to Inadequate Pain Control Post-operatively","Rate of needing to be readmitted to the hospital secondary to inadequate pain control post-operatively at any point during the study period.","6 weeks",NA,"Number of Participants Needing to be Readmitted to the Hospital Secondary to Inadequate Pain Control Post-operativelyRate of needing to be readmitted to the hospital secondary to inadequate pain control post-operatively at any point during the study period.ParticipantsCount of ParticipantsParticipantsMeasure","NCT04910165","O1","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Fisher Exact","Exparel",NA,NA,NA,NA,NA,NA,NA
"37","Secondary","Number of Participants Needing to be Readmitted to the Hospital Secondary to Inadequate Pain Control Post-operatively","Rate of needing to be readmitted to the hospital secondary to inadequate pain control post-operatively at any point during the study period.","6 weeks",NA,"Number of Participants Needing to be Readmitted to the Hospital Secondary to Inadequate Pain Control Post-operativelyRate of needing to be readmitted to the hospital secondary to inadequate pain control post-operatively at any point during the study period.ParticipantsCount of ParticipantsParticipantsMeasure","NCT04910165","O2","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Fisher Exact","Control",NA,NA,NA,NA,NA,NA,NA
"38","Secondary","Number of Participants Needing to be Admitted to an Inpatient Rehabilitation Facility Post-Operatively","Rate of needing to be discharged to an inpatient rehabilitation facility after TKA procedure secondary to inadequate pain control and functional recovery","1 week",NA,"Number of Participants Needing to be Admitted to an Inpatient Rehabilitation Facility Post-OperativelyRate of needing to be discharged to an inpatient rehabilitation facility after TKA procedure secondary to inadequate pain control and functional recoveryParticipantsCount of ParticipantsParticipantsMeasure","NCT04910165","O1","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Fisher Exact","Exparel",NA,NA,NA,NA,NA,NA,NA
"39","Secondary","Number of Participants Needing to be Admitted to an Inpatient Rehabilitation Facility Post-Operatively","Rate of needing to be discharged to an inpatient rehabilitation facility after TKA procedure secondary to inadequate pain control and functional recovery","1 week",NA,"Number of Participants Needing to be Admitted to an Inpatient Rehabilitation Facility Post-OperativelyRate of needing to be discharged to an inpatient rehabilitation facility after TKA procedure secondary to inadequate pain control and functional recoveryParticipantsCount of ParticipantsParticipantsMeasure","NCT04910165","O2","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Fisher Exact","Control",NA,NA,NA,NA,NA,NA,NA
"40","Primary","Overall Amounts of Pain Medications Consumed Through Post-operative Day 7","Using questionnaires, patients are asked if they took Dilaudid, Tylenol, Motrin, or other opioids and if so, how many tablets.","Assessed daily for 7 days post-procedure","4 participants from the Exparel group and 6 participants from the standard group did not return a questionnaire.","Overall Amounts of Pain Medications Consumed Through Post-operative Day 7Using questionnaires, patients are asked if they took Dilaudid, Tylenol, Motrin, or other opioids and if so, how many tablets.4 participants from the Exparel group and 6 participants from the standard group did not return a questionnaire.tabletsNumberParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Secondary","Scores on a Analog Pain Scale (7 Days)","Using questionnaires, patients are asked what their pain level is based on a scale from 0-10, 10 being the absolute worst pain and 0 being no pain.","Assessed at day 7 post-procedure",NA,"Scores on a Analog Pain Scale (7 Days)Using questionnaires, patients are asked what their pain level is based on a scale from 0-10, 10 being the absolute worst pain and 0 being no pain.Median score on postoperative day 7MedianInter-Quartile RangeParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Secondary","Scores on an Analog Pain Scale (30 Days)","Using questionnaires, patients are asked what their pain level is based on a scale from 0-10, 10 being the absolute worst pain and 0 being no pain.","Assessed at 30 days post-procedure","42 subjects in the Exparel group and 47 subjects in the standard group completed the 30-day survey.","Scores on an Analog Pain Scale (30 Days)Using questionnaires, patients are asked what their pain level is based on a scale from 0-10, 10 being the absolute worst pain and 0 being no pain.42 subjects in the Exparel group and 47 subjects in the standard group completed the 30-day survey.Median score on postoperative day 30MedianInter-Quartile RangeParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Secondary","Number of Patients With Paresthesias (Postoperatively at 7 Days)","Patients are asked if they have experienced a pricking or tingling sensation caused by potential pressure or damage to peripheral nerves since the procedure.","Assessed at day 7 post-procedure",NA,"Number of Patients With Paresthesias (Postoperatively at 7 Days)Patients are asked if they have experienced a pricking or tingling sensation caused by potential pressure or damage to peripheral nerves since the procedure.ParticipantsCount of ParticipantsParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Secondary","Proportion of Patients With Paresthesias (Postoperatively at 30 Days)","Patients are asked if they have experienced a pricking or tingling sensation caused by potential pressure or damage to peripheral nerves","Assessed at day 30 post-procedure","42 subjects in the Exparel group and 47 subjects in the standard group completed the 30-day survey.","Proportion of Patients With Paresthesias (Postoperatively at 30 Days)Patients are asked if they have experienced a pricking or tingling sensation caused by potential pressure or damage to peripheral nerves42 subjects in the Exparel group and 47 subjects in the standard group completed the 30-day survey.ParticipantsCount of ParticipantsParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Secondary","Hospital Length of Stay","Median length of stay in days until discharge.","From end of procedure until discharge, usually 0-2 days.",NA,"Hospital Length of StayMedian length of stay in days until discharge.daysMedianInter-Quartile RangeParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Secondary","Return to Baseline Activity","Using surveys, patients are asked if they have been able to return to baseline activity levels.","Assessed at 30 days post-procedure","42 subjects in the Exparel group and 47 subjects in the standard group completed the 30 day survey.","Return to Baseline ActivityUsing surveys, patients are asked if they have been able to return to baseline activity levels.42 subjects in the Exparel group and 47 subjects in the standard group completed the 30 day survey.ParticipantsCount of ParticipantsParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Secondary","Return to Work","Using surveys, patients are asked if they have been able to return to work.","Assessed at 30 days post-procedure","42 subjects in the Exparel group and 47 patients in the standard group completed the 30-day survey.","Return to WorkUsing surveys, patients are asked if they have been able to return to work.42 subjects in the Exparel group and 47 patients in the standard group completed the 30-day survey.ParticipantsCount of ParticipantsParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Secondary","Days Until Return to Work","Using surveys, the number of days to return to work was assessed for patients who were able to return to work.","Assessed at 30 days post-procedure","At the 30-day call, 24 subjects in the Exparel group and 17 subjects in the standard group indicated that they were able to return to work. Number of days were assessed for these subjects.","Days Until Return to WorkUsing surveys, the number of days to return to work was assessed for patients who were able to return to work.At the 30-day call, 24 subjects in the Exparel group and 17 subjects in the standard group indicated that they were able to return to work. Number of days were assessed for these subjects.daysMedianInter-Quartile RangeParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Secondary","Overall Hospital Cost","Overall hospital cost of patient procedure and stay will be assessed.","Total cost assessed from patient registration until discharge to home (usually 0-2 days).","Data on hospital cost was not collected.","Overall Hospital CostOverall hospital cost of patient procedure and stay will be assessed.Data on hospital cost was not collected.ParticipantsMeasure","NCT02499159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Primary","Post-operative Pain","Primary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most pain","4hrs after surgery",NA,"Post-operative PainPrimary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most painscore on a scaleMeanStandard DeviationParticipantsMeasure","NCT03502018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Primary","Post-operative Pain","Primary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most pain","8hrs after surgery",NA,"Post-operative PainPrimary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most painscore on a scaleMeanStandard DeviationParticipantsMeasure","NCT03502018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Primary","Post-operative Pain","Primary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most pain","12hrs after surgery",NA,"Post-operative PainPrimary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most painscore on a scaleMeanStandard DeviationParticipantsMeasure","NCT03502018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Primary","Post-operative Pain","Primary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most pain","24hrs after surgery",NA,"Post-operative PainPrimary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most painscore on a scaleMeanStandard DeviationParticipantsMeasure","NCT03502018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Primary","Post-operative Pain","Primary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most pain","48hrs after surgery",NA,"Post-operative PainPrimary outcome measure will be postoperative visual analogue scale (VAS from 0-10) pain scores. 0 = no pain, 10 = most painscore on a scaleMeanStandard DeviationParticipantsMeasure","NCT03502018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Secondary","Time to Ambulation","Measure of time to ambulation with physical therapy","24 and 48 hours after surgery",NA,"Time to AmbulationMeasure of time to ambulation with physical therapyDaysMeanStandard DeviationParticipantsMeasure","NCT03502018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Secondary","Postoperative Total Morphine Equivalent","Total dose in milligrams of opiates measured in total morphine equivalents. This was measured by calculating the sum of total morphine equivalents administered within 48 hours postoperatively. Assessed at 12, 24, 36, 48 hours after surgery, total postoperative total morphine equivalents at 48 hours after surgery reported","48 hours after surgery",NA,"Postoperative Total Morphine EquivalentTotal dose in milligrams of opiates measured in total morphine equivalents. This was measured by calculating the sum of total morphine equivalents administered within 48 hours postoperatively. Assessed at 12, 24, 36, 48 hours after surgery, total postoperative total morphine equivalents at 48 hours after surgery reportedMorphine EquivalentMeanStandard DeviationParticipantsMeasure","NCT03502018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Secondary","Delirium Scale Measurements","Assessment of post-operative delirium based on Short Confusion Assessment Method","24 and 48 hours after surgery",NA,"Delirium Scale MeasurementsAssessment of post-operative delirium based on Short Confusion Assessment MethodParticipantsCount of ParticipantsParticipantsMeasureAt 24 HoursAt 48 HoursNo Delirium","NCT03502018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Secondary","Length of Stay","Total days until discharge from hospital","7 days from day of admission",NA,"Length of StayTotal days until discharge from hospitalDaysMeanStandard DeviationParticipantsMeasure","NCT03502018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Primary","Total Postsurgical Opioid Consumption Through 72 Hours After TAP Infiltration During Elective Cesarean Section","The primary endpoint is the total postsurgical opioid consumption (mg) in oral morphine equivalent dose (OMED) through 72 hours.","0-72 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 72 Hours After TAP Infiltration During Elective Cesarean SectionThe primary endpoint is the total postsurgical opioid consumption (mg) in oral morphine equivalent dose (OMED) through 72 hours.Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED, mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O1","Superiority","0.0117",NA,"ANCOVA","EXPAREL 266mg + Immediate Release (IR) Bupivacaine","LSM treatment difference","-16.5","95","2-Sided","-30.8","-2.2",NA
"60","Primary","Total Postsurgical Opioid Consumption Through 72 Hours After TAP Infiltration During Elective Cesarean Section","The primary endpoint is the total postsurgical opioid consumption (mg) in oral morphine equivalent dose (OMED) through 72 hours.","0-72 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 72 Hours After TAP Infiltration During Elective Cesarean SectionThe primary endpoint is the total postsurgical opioid consumption (mg) in oral morphine equivalent dose (OMED) through 72 hours.Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED, mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O2","Superiority","0.0117",NA,"ANCOVA","IR Bupivacaine","LSM treatment difference","-16.5","95","2-Sided","-30.8","-2.2",NA
"61","Secondary","Area Under the Curve (AUC) for Visual Analog Scale (VAS) Pain Scores Through 72 Hours","AUC for VAS pain scores through 72 hours. Pain intensity scores were measured on a 10-cm VAS (0 cm= ""no pain"" to 30 cm=""pain as bad as it could be"").
Subjects were evaluated for pain intensity scores at rest using the 10-cm VAS at rest at 6, 12, 18, 24, 30, 36, 42, 48, and 72 hours after surgery and then once daily (at noon ± 4 hours) through Day 14. To assess pain intensity (VAS) at rest, the subject should rest quietly in a supine or seated position that does not exacerbate her postsurgical pain for 3-5 minutes before entering the pain score. While in the hospital, subjects are to assess, ""How much pain are you experiencing right now?"" and a vertical mark is placed on a 10-cm straight line to indicate the level of pain experienced at the time of assessment.
Note higher AUC means more pain over time.","0-72 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Area Under the Curve (AUC) for Visual Analog Scale (VAS) Pain Scores Through 72 HoursAUC for VAS pain scores through 72 hours. Pain intensity scores were measured on a 10-cm VAS (0 cm= ""no pain"" to 30 cm=""pain as bad as it could be"").
Subjects were evaluated for pain intensity scores at rest using the 10-cm VAS at rest at 6, 12, 18, 24, 30, 36, 42, 48, and 72 hours after surgery and then once daily (at noon ± 4 hours) through Day 14. To assess pain intensity (VAS) at rest, the subject should rest quietly in a supine or seated position that does not exacerbate her postsurgical pain for 3-5 minutes before entering the pain score. While in the hospital, subjects are to assess, ""How much pain are you experiencing right now?"" and a vertical mark is placed on a 10-cm straight line to indicate the level of pain experienced at the time of assessment.
Note higher AUC means more pain over time.Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)cm*hrLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O1","Non-Inferiority","0.0020",NA,"ANCOVA","EXPAREL 266mg + Immediate Release (IR) Bupivacaine","LSM treatment difference (SE)","-30.6","95","2-Sided","-75.9","14.7","Pre-specified non-inferiority margin of 36"
"62","Secondary","Area Under the Curve (AUC) for Visual Analog Scale (VAS) Pain Scores Through 72 Hours","AUC for VAS pain scores through 72 hours. Pain intensity scores were measured on a 10-cm VAS (0 cm= ""no pain"" to 30 cm=""pain as bad as it could be"").
Subjects were evaluated for pain intensity scores at rest using the 10-cm VAS at rest at 6, 12, 18, 24, 30, 36, 42, 48, and 72 hours after surgery and then once daily (at noon ± 4 hours) through Day 14. To assess pain intensity (VAS) at rest, the subject should rest quietly in a supine or seated position that does not exacerbate her postsurgical pain for 3-5 minutes before entering the pain score. While in the hospital, subjects are to assess, ""How much pain are you experiencing right now?"" and a vertical mark is placed on a 10-cm straight line to indicate the level of pain experienced at the time of assessment.
Note higher AUC means more pain over time.","0-72 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Area Under the Curve (AUC) for Visual Analog Scale (VAS) Pain Scores Through 72 HoursAUC for VAS pain scores through 72 hours. Pain intensity scores were measured on a 10-cm VAS (0 cm= ""no pain"" to 30 cm=""pain as bad as it could be"").
Subjects were evaluated for pain intensity scores at rest using the 10-cm VAS at rest at 6, 12, 18, 24, 30, 36, 42, 48, and 72 hours after surgery and then once daily (at noon ± 4 hours) through Day 14. To assess pain intensity (VAS) at rest, the subject should rest quietly in a supine or seated position that does not exacerbate her postsurgical pain for 3-5 minutes before entering the pain score. While in the hospital, subjects are to assess, ""How much pain are you experiencing right now?"" and a vertical mark is placed on a 10-cm straight line to indicate the level of pain experienced at the time of assessment.
Note higher AUC means more pain over time.Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)cm*hrLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O2","Non-Inferiority","0.0020",NA,"ANCOVA","IR Bupivacaine","LSM treatment difference (SE)","-30.6","95","2-Sided","-75.9","14.7","Pre-specified non-inferiority margin of 36"
"63","Secondary","Opioid Spared Subjects Through 72 Hours","Subjects were considered opioid-spared if:
For 0-72 hours opioid consumption, all doses add up to ≤15mg (oral morphine equivalent dose [OMED])
AND the overall benefit of anesthesia score (OBAS) score was 0 for questions 2, 3, 4, 5, and 6. For the OBAS questionnaire, 0 is considered minimal pain and 4 is considered maximum imaginable pain.","0-72 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Opioid Spared Subjects Through 72 HoursSubjects were considered opioid-spared if:
For 0-72 hours opioid consumption, all doses add up to ≤15mg (oral morphine equivalent dose [OMED])
AND the overall benefit of anesthesia score (OBAS) score was 0 for questions 2, 3, 4, 5, and 6. For the OBAS questionnaire, 0 is considered minimal pain and 4 is considered maximum imaginable pain.Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)percent of participantsNumberParticipantsMeasure","NCT03176459","O1","Superiority","0.0012",NA,"LSM probability from logistic regression","EXPAREL 266mg + Immediate Release (IR) Bupivacaine","Odds Ratio (OR)","3.51","95","2-Sided","1.557","7.906",NA
"64","Secondary","Total Postsurgical Opioid Consumption Through 24 Hours",NA,"0-24 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 24 HoursEfficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O1","Superiority",".0543",NA,"ANCOVA","EXPAREL 266mg + Immediate Release (IR) Bupivacaine","Least squares treatment difference","-3.2",NA,"2-Sided",NA,NA,NA
"65","Secondary","Total Postsurgical Opioid Consumption Through 24 Hours",NA,"0-24 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 24 HoursEfficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O2","Superiority",".0543",NA,"ANCOVA","IR Bupivacaine","Least squares treatment difference","-3.2",NA,"2-Sided",NA,NA,NA
"66","Secondary","Total Postsurgical Opioid Consumption Through 48 Hours",NA,"0-48 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 48 HoursEfficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O1","Superiority",".0096",NA,"ANCOVA","EXPAREL 266mg + Immediate Release (IR) Bupivacaine","Least squares treatment difference","-11.4",NA,"1-Sided",NA,NA,NA
"67","Secondary","Total Postsurgical Opioid Consumption Through 48 Hours",NA,"0-48 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 48 HoursEfficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O2","Superiority",".0096",NA,"ANCOVA","IR Bupivacaine","Least squares treatment difference","-11.4",NA,"1-Sided",NA,NA,NA
"68","Secondary","Total Postsurgical Opioid Consumption Through 168 Hours (Day 7)",NA,"0-168 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 168 Hours (Day 7)Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O1","Superiority",".0175",NA,"ANCOVA","EXPAREL 266mg + Immediate Release (IR) Bupivacaine","Least squares treatment difference","-22.4",NA,"2-Sided",NA,NA,NA
"69","Secondary","Total Postsurgical Opioid Consumption Through 168 Hours (Day 7)",NA,"0-168 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 168 Hours (Day 7)Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O2","Superiority",".0175",NA,"ANCOVA","IR Bupivacaine","Least squares treatment difference","-22.4",NA,"2-Sided",NA,NA,NA
"70","Secondary","Total Postsurgical Opioid Consumption Through 336 Hours (Day 14)",NA,"0-336 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 336 Hours (Day 14)Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O1","Superiority",".0542",NA,"ANCOVA","EXPAREL 266mg + Immediate Release (IR) Bupivacaine","Least squares treatment difference","-19.6",NA,"2-Sided",NA,NA,NA
